Stadtteil,Gesamt,Maennlich,Weiblich,SGBIII,SGBII,Deutsche,Auslaender,>20,20-<25,25-<54,55+,Langzeit,Schwerbehindert,Teilzeit
Altstadt,25,14,11,8,17,22,3,-,1,22,2,11,-,3
Vorstadt,63,42,21,11,52,50,13,-,7,48,8,24,1,3
Exerzierplatz,337,228,109,81,256,307,30,5,31,270,31,96,6,29
Damperhof,184,118,66,34,150,164,20,-,8,156,20,61,7,13
Brunswik,268,161,107,72,196,239,29,1,12,229,26,82,12,34
Düsternbrook,26,17,9,12,14,26,-,-,2,18,6,5,-,1
Blücherplatz,249,138,111,119,130,235,14,1,17,201,30,51,15,26
Wik,639,336,303,192,447,562,77,9,39,506,85,198,33,109
Ravensberg,403,246,157,121,282,374,29,2,18,344,39,124,12,52
Schreventeich,484,313,171,111,373,447,36,1,35,395,53,137,22,48
Südfriedhof,903,543,360,212,691,802,101,6,64,755,78,269,34,98
Gaarden-Ost,2.468,1.566,902,243,2.225,1.872,594,26,120,2.104,218,779,79,262
Gaarden-Süd/Kronsburg,745,446,299,139,606,618,126,9,52,606,78,234,16,96
Hassee,908,599,309,161,747,796,110,17,59,737,95,323,34,108
Hasseldieksdamm,89,48,41,32,57,84,4,1,9,61,18,32,5,18
Ellerbek,436,254,182,96,340,343,93,8,28,335,65,158,15,60
Wellingdorf,631,349,282,127,504,535,96,16,48,503,64,236,16,107
Holtenau,197,116,81,72,125,188,9,5,10,152,30,51,14,28
Pries,383,212,171,110,273,350,33,9,21,298,55,95,16,74
Friedrichsort,116,80,36,34,82,98,18,5,11,80,20,32,5,16
Neumühlen/Dietrichsdorf,1.007,613,394,151,856,882,125,16,70,814,107,396,45,171
Elmschenhagen,828,484,344,226,602,743,83,19,66,635,108,269,30,135
Suchsdorf,220,129,91,83,137,204,16,5,17,157,41,60,10,32
Schilksee,152,81,71,62,90,131,21,2,7,107,36,49,5,23
Mettenhof,1.907,1.027,880,226,1.681,1.410,494,36,124,1.511,236,666,69,269
Russee,203,92,111,82,121,176,27,5,11,143,44,58,8,44
Meimersdorf,56,28,28,32,24,54,2,-,5,43,8,15,2,14
Moorsee,34,16,18,11,23,31,2,-,2,24,8,7,3,7
Wellsee,238,140,98,82,156,193,44,7,19,192,20,75,10,28
Rönne,5,3,2,2,3,5,-,-,2,1,2,2,1,1
nichtZuzuordnen,175,82,93,141,34,163,12,1,14,131,29,22,6,43
KielGesamt,14.379,8.521,5.858,3.085,11.294,12.104,2.261,212,929,11.578,1.660,4.617,531,1.952
