Stadtteil,Gesamt,Maennlich,Weiblich,Deutsche,Auslaender,>20,20-<25,25-<65,ProzentAnteil_15-<65
Altstadt,212,118,94,197,15,2,27,183,50.8
Vorstadt,435,232,203,396,39,6,67,362,50.9
Exerzierplatz,2.452,1.212,1.240,2.336,116,30,305,2.117,50.5
Damperhof,1.142,529,613,1.086,56,13,142,987,47.3
Brunswik,2.410,1.162,1.248,2.275,135,21,259,2.130,51.3
Düsternbrook,631,313,318,560,71,2,32,597,32.4
Blücherplatz,4.098,1.903,2.195,3.968,130,30,271,3.797,50.0
Wik,6.146,3.047,3.099,5.840,306,110,515,5.521,47.1
Ravensberg,4.276,2.060,2.216,4.062,214,43,396,3.837,43.4
Schreventeich,4.283,2.199,2.084,4.128,155,60,534,3.689,46.6
Südfriedhof,5.812,2.837,2.975,5.577,235,84,871,4.857,50.6
Gaarden-Ost,4.205,2.539,1.666,3.377,828,136,530,3.539,34.5
Gaarden-Süd/Kronsburg,3.292,1.756,1.536,3.110,182,65,287,2.940,47.0
Hassee,4.342,2.223,2.119,4.120,222,110,529,3.703,50.0
Hasseldieksdamm,836,426,410,818,18,21,63,752,48.2
Ellerbek,1.829,1.026,803,1.663,166,64,205,1.560,48.9
Wellingdorf,2.750,1.441,1.309,2.556,194,79,338,2.333,52.0
Holtenau,1.687,861,826,1.649,38,36,97,1.554,51.4
Pries,2.252,1.191,1.061,2.165,87,70,201,1.981,48.3
Friedrichsort,709,382,327,655,54,20,71,618,51.5
Neumühlen/Dietrichsdorf,3.671,2.011,1.660,3.430,241,147,400,3.124,46.5
Elmschenhagen,6.110,3.224,2.886,5.904,206,225,526,5.359,53.0
Suchsdorf,2.548,1.296,1.252,2.495,53,65,178,2.305,44.5
Schilksee,1.251,649,602,1.207,44,30,64,1.157,46.5
Mettenhof,4.746,2.639,2.107,4.361,385,186,464,4.096,39.5
Russee,2.409,1.221,1.188,2.349,60,65,143,2.201,50.4
Meimersdorf,897,463,434,876,21,20,53,824,45.1
Moorsee,575,296,279,559,16,17,43,515,46.6
Wellsee,1.936,998,938,1.852,84,77,143,1.716,56.2
Rönne,144,71,73,142,2,4,7,133,52.7
nichtZuzuordnen,1.483,776,707,1.381,102,18,64,1.401,x
KielGesamt,79.569,41.101,38.468,75.094,4.475,1.856,7.825,69.888,47.8
