Stadtteil,EinwohnerGesamt,EinwohnerGesamtWeiblich,MighintergrundGesamt,MighintergrundWeiblich,AuslaenderGesamt,AuslaenderWeiblich,EingebürgertGesamt,EingebürgertWeiblich,BinationalGesamt,BinationalWeiblich,AuslandGeborenGesamt,AuslandgeborenWeiblich,NichtDeutschElternGesamt,NichtDeutschElternWeiblich
Altstadt,619,320,112,60,62,36,22,12,10,5,14,7,4,-
Vorstadt,1.097,523,235,108,131,61,48,17,27,13,15,9,14,8
Exerzierplatz,6.429,3.346,916,437,443,192,178,83,139,87,100,50,56,25
Damperhof,3.197,1.716,462,234,197,101,103,49,76,44,55,30,31,10
Brunswik,6.324,3.488,911,472,380,199,202,109,165,83,93,47,71,34
Düsternbrook,2.957,1.509,586,286,421,198,35,20,60,33,53,26,17,9
Blücherplatz,11.022,6.017,1.083,563,419,226,232,113,180,94,149,81,103,49
Wik,18.586,9.657,2.656,1.363,1.181,624,591,294,383,204,257,126,244,115
Ravensberg,11.948,6.379,1.727,892,905,447,268,138,256,138,200,119,98,50
Schreventeich,11.734,6.031,1.475,702,607,294,313,132,276,135,172,86,107,55
Südfriedhof,14.592,7.527,2.186,1.093,965,489,457,221,353,170,206,111,205,102
Gaarden-Ost,16.558,7.679,7.555,3.493,4.147,1.933,1.820,813,717,340,264,115,607,292
Gaarden-Süd/Kronsburg,10.428,5.188,1.852,872,894,429,426,179,214,101,141,73,177,90
Hassee,12.130,6.031,2.026,942,888,408,458,212,308,145,171,77,201,100
Hasseldieksdamm,2.802,1.459,310,158,90,53,76,37,49,20,62,27,33,21
Ellerbek,5.855,2.885,1.516,714,626,309,441,193,207,100,77,40,165,72
Wellingdorf,7.982,4.133,1.688,838,704,360,484,231,223,107,106,64,171,76
Holtenau,5.228,2.683,416,224,161,84,90,54,65,32,63,30,37,24
Pries,7.258,3.704,981,484,452,208,211,113,138,66,92,53,88,44
Friedrichsort,2.141,1.077,440,178,245,79,75,34,54,30,29,18,37,17
Neumühlen/Dietrichsdorf,11.939,6.117,2.407,1.187,994,488,610,313,347,161,189,97,267,128
Elmschenhagen,17.153,8.808,2.439,1.245,789,419,754,347,374,200,174,97,348,182
Suchsdorf,9.413,4.865,908,461,247,140,238,112,148,69,151,79,124,61
Schilksee,5.114,2.700,604,327,163,83,157,87,107,60,118,62,59,35
Mettenhof,19.142,9.861,8.211,4.061,2.489,1.276,2.793,1.312,1.529,773,537,278,863,422
Russee,7.108,3.622,787,410,182,107,257,135,155,81,85,39,108,48
Meimersdorf,2.958,1.476,531,277,113,65,192,101,82,38,63,38,81,35
Moorsee,1.856,915,323,154,92,44,81,41,47,23,49,21,54,25
Wellsee,5.086,2.552,1.005,499,283,149,271,124,165,85,89,46,197,95
Rönne,416,215,13,7,7,4,1,1,5,2,-,-,-,-
KielGesamt,239.072,122.483,46.361,22.741,19.277,9.505,11.884,5.627,6.859,3.439,3.774,1.946,4.567,2.224
