Stadtteil,Gesamt,18-<65,65+,Gesamt_inProzent,18-<65_Prozent,65+
Altstadt,5,-,5,085,-,284
Vorstadt,21,9,12,201,106,609
Exerzierplatz,87,42,45,145,087,374
Damperhof,55,33,22,184,138,373
Brunswik,66,33,33,113,071,274
Düsternbrook,10,7,3,039,037,045
Blücherplatz,75,37,38,078,046,236
Wik,181,72,109,112,057,314
Ravensberg,84,40,44,076,041,337
Schreventeich,187,68,119,175,075,731
Südfriedhof,243,121,122,181,107,585
Gaarden-Ost,955,455,500,689,386,2437
Gaarden-Süd/Kronsburg,207,107,100,232,158,463
Hassee,236,142,94,223,169,434
Hasseldieksdamm,45,12,33,193,073,480
Ellerbek,151,57,94,302,159,670
Wellingdorf,150,65,85,217,128,462
Holtenau,68,20,48,151,064,352
Pries,138,63,75,226,142,449
Friedrichsort,35,17,18,191,129,347
Neumühlen/Dietrichsdorf,258,123,135,258,163,546
Elmschenhagen,231,127,104,162,116,316
Suchsdorf,96,38,58,126,070,264
Schilksee,85,23,62,187,089,314
Mettenhof,510,220,290,345,195,827
Russee,53,29,24,090,064,179
Meimersdorf,8,4,4,037,021,152
Moorsee,11,8,3,076,067,113
Wellsee,47,23,24,116,070,315
Rönne,-,-,-,-,-,-
nichtZuzuordnen,109,105,4,x,x,x
ausserhalbVonEinrichtungen,4407,2100,2307,215,131,522
zudemInEinrichtungen,853,559,294,042,035,067
KielGesamt,5260,2659,2601,257,165,589
