Stadtteil,Latitude,Longitude,Einwohner_2014_Q1,Einwohner_2013_Q1,Einwohner_2012_Q1,Einwohner_2011_Q1,EinwohnerWeiblich_2014_Q1,EinwohnerWeiblich_2013_Q1,EinwohnerWeiblich_2012_Q1,EinwohnerWeiblich_2011_Q1,Mighintergrund_2014_Q1,Mighintergrund_2013_Q1,Mighintergrund_2012_Q1,Mighintergrund_2011_Q1,Beschaeftigte_2014_Q1,Beschaeftigte_2013_Q1,Beschaeftigte_2012_Q1,Beschaeftigte_2011_Q1,Arbeitslose_2014_Q1,Arbeitslose_2013_Q1,Arbeitslose_2012_Q1,Arbeitslose_2011_Q1,Grundsicherung65+_2014_Q1,Grundsicherung65+_2013_Q1,Grundsicherung65+_2012_Q1,Grundsicherung65+_2011_Q1
Altstadt,543236465,10.1409031,631,619,614,588,343,320,316,313,126,112,116,113,215,212,182,155,19,25,24,25,6,5,5,5
Vorstadt,54.3195,10.133341,1124,1097,1089,1082,547,523,519,513,264,235,232,239,459,435,417,417,63,47,55,63,17,21,21,21
Exerzierplatz,54.3210005,10.1269174,6397,6429,6312,6182,3323,3346,33,3202,942,916,905,848,2525,2452,2458,2296,433,364,309,337,89,87,87,87
Damperhof,54.3271299,10.1356465,3301,3197,3186,3141,1775,1716,1691,1658,498,462,425,448,1196,1142,1143,1122,149,149,154,184,56,55,55,55
Brunswik,54.3321606,10.1339735,6453,6324,6234,6179,3549,3488,341,3397,967,911,839,823,2502,2410,2356,2280,2370,222,250,268,79,66,66,66
Düsternbrook,54.3383369,10.1478815,3066,2957,2969,2967,1547,1509,1519,1517,634,586,574,526,687,631,623,598,33,32,20,26,10,10,10,10
Blücherplatz,54.3413654,10.1351896,11029,11022,10903,10763,599,6017,592,5861,1088,1083,1058,1038,4171,4098,4014,3915,250,246,210,249,73,75,75,75
Wik,54.3586796,10.11467,18615,18586,18434,17896,9643,9657,9662,9373,2751,2656,2670,2548,6560,6146,5943,5879,608,592,615,639,179,181,181,181
Ravensberg,54.341554,10.1175864,12005,11948,11793,11522,6394,6379,6319,6144,1798,1727,1650,1594,4467,4276,4212,4142,374,369,375,403,84,84,84,84
Schreventeich,54.328089,10.1118099,11771,11734,11535,11346,603,6031,5943,5914,1504,1475,1378,1331,4347,4283,4184,4005,492,439,454,484,192,187,187,187
Südfriedhof,54.3130445,10.1151259,14724,14592,14530,14170,7582,7527,7558,7427,2289,2186,2125,2047,5952,5812,5578,5410,735,800,833,903,251,243,243,243
Gaarden-Ost,54.313559,10.1506445,17110,16558,16364,16245,7837,7679,7601,7537,8121,7555,7310,7219,4433,4205,4014,3915,2557,2195,2316,2468,994,955,955,955
